,area,income,value
696,163302,<10000,327.0
697,163400,<10000,357.0
698,163501,<10000,285.0
699,163502,<10000,480.0
700,163600,<10000,429.0
701,163700,<10000,546.0
702,163801,<10000,144.0
703,163803,<10000,144.0
704,163901,<10000,450.0
705,163902,<10000,102.0
706,164001,<10000,363.0
707,164100,<10000,30.0
708,164201,<10000,381.0
709,164301,<10000,69.0
710,164302,<10000,105.0
711,164401,<10000,279.0
712,164500,<10000,297.0
713,164601,<10000,87.0
714,164602,<10000,72.0
715,164603,<10000,243.0
716,164700,<10000,135.0
717,164800,<10000,201.0
718,164900,<10000,108.0
719,165001,<10000,177.0
720,165101,<10000,321.0
721,165200,<10000,162.0
722,165301,<10000,198.0
723,165302,<10000,375.0
724,165400,<10000,273.0
725,165501,<10000,540.0
726,165502,<10000,282.0
727,165600,<10000,159.0
728,165700,<10000,177.0
729,165800,<10000,267.0
730,165901,<10000,261.0
731,166000,<10000,45.0
732,166100,<10000,165.0
733,166200,<10000,153.0
734,166301,<10000,240.0
735,166400,<10000,291.0
736,166500,<10000,198.0
737,166600,<10000,
738,166700,<10000,177.0
739,166801,<10000,
740,166900,<10000,282.0
741,167000,<10000,150.0
742,167101,<10000,336.0
743,167102,<10000,99.0
744,167200,<10000,180.0
745,167300,<10000,48.0
746,167400,<10000,171.0
747,167501,<10000,78.0
748,167600,<10000,156.0
749,167700,<10000,105.0
750,167800,<10000,333.0
751,167900,<10000,33.0
752,168001,<10000,96.0
753,168101,<10000,183.0
754,168200,<10000,96.0
755,168300,<10000,123.0
756,168400,<10000,57.0
757,168501,<10000,96.0
758,168502,<10000,294.0
759,168600,<10000,102.0
760,168701,<10000,129.0
761,168800,<10000,150.0
762,168901,<10000,141.0
763,169000,<10000,174.0
764,169100,<10000,219.0
765,169200,<10000,375.0
766,169301,<10000,282.0
767,169401,<10000,213.0
768,169500,<10000,135.0
769,169600,<10000,219.0
770,169700,<10000,369.0
771,169800,<10000,138.0
772,169901,<10000,198.0
773,170001,<10000,318.0
774,170101,<10000,255.0
775,170201,<10000,186.0
776,170300,<10000,228.0
777,170400,<10000,90.0
778,170501,<10000,372.0
779,170502,<10000,243.0
780,170600,<10000,228.0
781,170700,<10000,204.0
782,170802,<10000,108.0
783,170803,<10000,327.0
784,170901,<10000,195.0
785,171000,<10000,
786,171101,<10000,216.0
787,171201,<10000,234.0
788,171300,<10000,93.0
789,171400,<10000,387.0
790,171501,<10000,408.0
791,171502,<10000,180.0
792,171601,<10000,411.0
793,171700,<10000,243.0
794,171801,<10000,240.0
795,171803,<10000,138.0
796,171901,<10000,231.0
797,172001,<10000,282.0
798,172100,<10000,324.0
799,172201,<10000,195.0
800,172300,<10000,180.0
801,172401,<10000,195.0
802,172500,<10000,63.0
803,172601,<10000,69.0
804,172700,<10000,105.0
805,172800,<10000,315.0
806,172900,<10000,117.0
807,173000,<10000,219.0
808,173100,<10000,219.0
809,173201,<10000,318.0
810,173202,<10000,231.0
811,173300,<10000,327.0
812,173400,<10000,255.0
813,173500,<10000,162.0
814,173600,<10000,168.0
815,173700,<10000,141.0
816,173801,<10000,156.0
817,173901,<10000,132.0
818,173902,<10000,393.0
819,174001,<10000,279.0
820,174100,<10000,240.0
821,174200,<10000,210.0
822,174300,<10000,165.0
823,174400,<10000,150.0
824,174500,<10000,159.0
825,174601,<10000,165.0
826,174701,<10000,117.0
827,174801,<10000,120.0
828,174901,<10000,279.0
829,175001,<10000,309.0
830,175002,<10000,198.0
831,175100,<10000,93.0
832,175201,<10000,18.0
833,175301,<10000,270.0
834,175302,<10000,387.0
835,175401,<10000,102.0
836,175501,<10000,384.0
837,175601,<10000,276.0
838,175700,<10000,231.0
839,175801,<10000,417.0
840,175901,<10000,354.0
841,175902,<10000,348.0
842,176000,<10000,237.0
843,176101,<10000,510.0
844,176201,<10000,261.0
845,176202,<10000,288.0
846,176301,<10000,9.0
847,176400,<10000,297.0
848,176500,<10000,222.0
849,176600,<10000,246.0
850,176700,<10000,234.0
851,176800,<10000,378.0
852,176900,<10000,315.0
853,177000,<10000,291.0
854,177100,<10000,396.0
855,177200,<10000,516.0
856,177300,<10000,324.0
857,177400,<10000,249.0
858,177500,<10000,210.0
859,177600,<10000,204.0
860,177700,<10000,333.0
861,177800,<10000,339.0
862,177901,<10000,405.0
863,178000,<10000,369.0
864,178100,<10000,414.0
865,178201,<10000,279.0
866,178202,<10000,273.0
867,178301,<10000,330.0
868,178400,<10000,309.0
869,178500,<10000,345.0
870,178600,<10000,162.0
871,178701,<10000,303.0
872,178800,<10000,372.0
873,178901,<10000,72.0
874,179001,<10000,105.0
875,179100,<10000,384.0
876,179201,<10000,177.0
877,179202,<10000,417.0
878,179300,<10000,324.0
879,179401,<10000,72.0
880,179501,<10000,312.0
881,179502,<10000,237.0
882,179600,<10000,426.0
883,179700,<10000,378.0
884,179801,<10000,120.0
885,179901,<10000,876.0
886,180000,<10000,282.0
887,180100,<10000,315.0
888,180200,<10000,399.0
889,180300,<10000,285.0
890,180400,<10000,252.0
891,180500,<10000,330.0
892,180601,<10000,489.0
893,180700,<10000,531.0
894,180800,<10000,303.0
895,180900,<10000,219.0
896,181000,<10000,249.0
897,181101,<10000,390.0
898,181200,<10000,324.0
899,181301,<10000,42.0
900,181400,<10000,159.0
901,181500,<10000,168.0
902,181600,<10000,162.0
903,181700,<10000,111.0
904,181800,<10000,195.0
905,181900,<10000,117.0
906,182000,<10000,78.0
907,182101,<10000,159.0
908,182201,<10000,81.0
909,182300,<10000,84.0
910,182400,<10000,117.0
911,182500,<10000,306.0
912,182600,<10000,294.0
913,182700,<10000,288.0
914,182800,<10000,324.0
915,182900,<10000,156.0
916,183000,<10000,216.0
917,183101,<10000,102.0
918,183200,<10000,102.0
919,183300,<10000,108.0
920,183401,<10000,135.0
921,183500,<10000,135.0
922,183600,<10000,159.0
923,183701,<10000,198.0
924,183800,<10000,204.0
925,183900,<10000,177.0
926,184000,<10000,171.0
927,184100,<10000,27.0
928,184201,<10000,318.0
929,184300,<10000,129.0
930,184400,<10000,186.0
931,184501,<10000,51.0
932,184601,<10000,195.0
933,184700,<10000,48.0
934,184800,<10000,246.0
935,184900,<10000,105.0
936,185000,<10000,123.0
937,185100,<10000,
938,185200,<10000,144.0
939,185300,<10000,189.0
940,185400,<10000,126.0
941,185500,<10000,294.0
942,185600,<10000,207.0
943,185700,<10000,438.0
944,185800,<10000,225.0
945,185900,<10000,228.0
946,186000,<10000,447.0
947,186100,<10000,159.0
948,186200,<10000,210.0
949,186300,<10000,96.0
950,186400,<10000,273.0
951,186500,<10000,249.0
952,186600,<10000,312.0
953,186700,<10000,117.0
954,186800,<10000,297.0
955,186900,<10000,
956,187000,<10000,132.0
957,187100,<10000,144.0
958,187200,<10000,120.0
959,187300,<10000,291.0
960,187400,<10000,219.0
961,187500,<10000,141.0
962,187600,<10000,6.0
963,187701,<10000,162.0
964,187702,<10000,102.0
965,187800,<10000,207.0
966,187900,<10000,201.0
967,188001,<10000,117.0
968,188002,<10000,102.0
969,188100,<10000,
970,188200,<10000,138.0
971,188300,<10000,165.0
972,188400,<10000,156.0
973,188501,<10000,153.0
974,188502,<10000,102.0
975,188600,<10000,42.0
976,188701,<10000,168.0
977,188702,<10000,9.0
978,188800,<10000,234.0
979,188900,<10000,243.0
980,189000,<10000,192.0
981,189101,<10000,162.0
982,189102,<10000,72.0
983,189200,<10000,174.0
984,189300,<10000,198.0
985,189400,<10000,117.0
986,189500,<10000,285.0
987,189600,<10000,75.0
988,189700,<10000,426.0
989,189800,<10000,15.0
990,189900,<10000,6.0
991,190000,<10000,
992,190100,<10000,48.0
993,190200,<10000,231.0
994,190300,<10000,225.0
995,190400,<10000,93.0
996,190501,<10000,414.0
997,190601,<10000,237.0
998,190602,<10000,300.0
999,190700,<10000,
1000,190800,<10000,42.0
1001,190901,<10000,162.0
1002,190902,<10000,249.0
1003,191001,<10000,378.0
1004,191101,<10000,105.0
1005,191201,<10000,348.0
1006,191300,<10000,270.0
1007,191400,<10000,261.0
1008,191501,<10000,90.0
1009,191502,<10000,36.0
1010,191601,<10000,192.0
1011,191700,<10000,327.0
1012,191801,<10000,255.0
1013,191901,<10000,438.0
1014,192000,<10000,384.0
1015,192101,<10000,324.0
1016,192102,<10000,300.0
1017,192200,<10000,
1018,192300,<10000,132.0
1019,192400,<10000,99.0
1020,192500,<10000,420.0
1021,192600,<10000,285.0
1022,192700,<10000,15.0
1023,192800,<10000,321.0
1024,192900,<10000,219.0
1025,193000,<10000,321.0
1026,193100,<10000,384.0
1027,193201,<10000,183.0
1028,193202,<10000,327.0
1029,193301,<10000,228.0
1030,193400,<10000,297.0
1031,193500,<10000,477.0
1032,193600,<10000,273.0
1033,193700,<10000,261.0
1034,193800,<10000,285.0
1035,193900,<10000,21.0
1036,194000,<10000,261.0
1037,194100,<10000,183.0
1038,194200,<10000,147.0
1039,194300,<10000,282.0
1040,194400,<10000,219.0
1041,194500,<10000,33.0
1042,194601,<10000,369.0
1043,194700,<10000,54.0
1044,194801,<10000,438.0
1045,194802,<10000,153.0
1046,194900,<10000,300.0
1047,195000,<10000,102.0
1048,195101,<10000,252.0
1049,195102,<10000,363.0
1050,195200,<10000,297.0
1051,195300,<10000,264.0
1052,195401,<10000,411.0
1053,195500,<10000,333.0
1054,195601,<10000,303.0
1055,195700,<10000,93.0
1056,195800,<10000,282.0
1057,195900,<10000,273.0
1058,196000,<10000,285.0
1059,196100,<10000,78.0
1060,196201,<10000,183.0
1061,196202,<10000,204.0
1062,196301,<10000,162.0
1063,196400,<10000,366.0
1064,196500,<10000,111.0
1065,196600,<10000,273.0
1066,196700,<10000,297.0
1067,196800,<10000,306.0
1068,196900,<10000,414.0
1069,197000,<10000,312.0
1070,197100,<10000,360.0
1071,197200,<10000,300.0
1072,197300,<10000,360.0
