Measure,Year,Area,ANZSIC06,Value,Flags
"Geographic Units","2022","Otago Region","L Rental, Hiring and Real Estate Services",6621,
"Geographic Units","2022","Southland Region","L Rental, Hiring and Real Estate Services",2916,
"Geographic Units","2022","Area Outside Region","L Rental, Hiring and Real Estate Services",21,
"Geographic Units","2022","Northland Region","M Professional, Scientific and Technical Services",1677,
"Geographic Units","2022","Auckland Region","M Professional, Scientific and Technical Services",30960,
"Geographic Units","2022","Waikato Region","M Professional, Scientific and Technical Services",4806,
"Geographic Units","2022","Bay of Plenty Region","M Professional, Scientific and Technical Services",3819,
"Geographic Units","2022","Gisborne Region","M Professional, Scientific and Technical Services",321,
"Geographic Units","2022","Hawke's Bay Region","M Professional, Scientific and Technical Services",1707,
"Geographic Units","2022","Taranaki Region","M Professional, Scientific and Technical Services",1125,
"Geographic Units","2022","Manawatu-Wanganui Region","M Professional, Scientific and Technical Services",1698,
"Geographic Units","2022","Wellington Region","M Professional, Scientific and Technical Services",12723,
"Geographic Units","2022","Tasman Region","M Professional, Scientific and Technical Services",615,
"Geographic Units","2022","Nelson Region","M Professional, Scientific and Technical Services",852,
"Geographic Units","2022","Marlborough Region","M Professional, Scientific and Technical Services",462,
"Geographic Units","2022","West Coast Region","M Professional, Scientific and Technical Services",180,
"Geographic Units","2022","Canterbury Region","M Professional, Scientific and Technical Services",7569,
"Geographic Units","2022","Otago Region","M Professional, Scientific and Technical Services",2775,
"Geographic Units","2022","Southland Region","M Professional, Scientific and Technical Services",555,
"Geographic Units","2022","Area Outside Region","M Professional, Scientific and Technical Services",6,
"Geographic Units","2022","Northland Region","N Administrative and Support Services",636,
"Geographic Units","2022","Auckland Region","N Administrative and Support Services",8274,
"Geographic Units","2022","Waikato Region","N Administrative and Support Services",1797,
"Geographic Units","2022","Bay of Plenty Region","N Administrative and Support Services",1329,
"Geographic Units","2022","Gisborne Region","N Administrative and Support Services",129,
"Geographic Units","2022","Hawke's Bay Region","N Administrative and Support Services",636,
