Number of dependent children,0,1,2,3,4
158600,48,33,39,21,6
158700,258,129,129,66,54
158800,261,132,117,72,87
158900,210,57,78,21,9
159000,390,150,111,33,21
159100,393,165,120,60,39
159200,429,180,159,87,96
159300,612,162,240,57,18
159400,354,72,72,18,9
159500,264,117,117,81,60
159600,390,99,117,39,21
159700,177,99,90,54,48
159800,321,60,81,27,12
159900,231,135,117,75,72
160000,339,135,123,69,81
160100,516,174,144,48,27
160200,396,225,210,102,96
160300,519,144,129,54,27
160400,618,183,144,54,33
160500,315,147,141,84,84
160600,522,171,138,81,75
160700,537,147,123,63,45
160800,372,123,105,45,33
160900,492,177,147,66,48
161000,327,144,114,42,27
161100,774,201,207,54,18
161200,231,96,96,45,51
161300,282,177,135,75,69
161400,540,123,153,45,18
161500,486,90,81,33,18
161600,321,123,87,33,33
161700,9,..,..,..,..
161800,534,99,111,33,12
161900,411,114,96,36,27
162000,336,141,105,39,36
162100,591,276,201,60,30
162200,291,33,30,21,3
162300,258,57,48,27,6
162400,477,108,87,36,15
162500,489,111,111,33,9
162600,201,72,78,24,15
162700,525,69,60,42,15
162800,450,81,60,24,6
162900,294,45,84,36,6
163000,717,225,174,78,48
163100,657,138,132,57,30
163200,765,189,117,51,15
163300,408,132,108,45,27
163400,303,135,144,39,9
163500,465,189,174,96,99
163600,411,135,105,51,42
163700,588,192,174,81,36
163800,429,111,132,54,6
163900,402,147,129,66,51
164000,507,165,150,45,15
164100,27,6,3,6,3
164200,429,108,108,63,45
164300,201,60,48,15,12
164400,666,105,99,48,15
164500,558,114,114,51,18
164600,600,111,117,39,12
164700,267,72,84,24,12
164800,327,108,102,39,15
164900,210,60,48,18,6
165000,288,51,69,36,12
165100,423,72,87,21,9
165200,255,60,69,27,12
165300,903,222,195,90,63
165400,537,78,141,42,12
165500,813,234,234,84,66
165600,234,81,111,36,12
165700,534,93,81,33,9
165800,468,150,141,54,21
165900,576,102,117,45,9
166000,105,12,15,3,3
166100,402,87,81,24,6
166200,219,54,63,24,9
166300,414,87,90,33,12
166400,390,87,111,57,15
3,103809,19941,19872,8271,3672
166500,396,51,36,15,3
166600,6,..,..,..,..
166700,546,45,54,21,6
166900,489,48,51,18,6
167000,459,48,60,15,3
167100,1200,150,144,48,18
167200,567,45,51,9,9
167300,153,9,12,6,0
167400,342,39,39,18,6
167500,135,27,30,6,3
167600,747,72,54,24,6
167700,399,33,21,6,0
167800,945,138,126,45,27
167900,54,9,6,3,0
168000,225,33,39,12,6
168100,504,42,42,12,12
168200,402,21,33,3,3
168300,273,45,42,18,9
168400,132,12,6,6,3
168500,1401,111,135,48,12
168600,273,27,27,12,3
168700,279,51,63,21,9
168800,321,51,84,24,6
168900,393,75,51,33,9
169000,324,54,81,30,24
169100,453,63,75,33,15
169200,1290,159,120,48,33
169300,576,81,75,39,12
169400,516,66,42,27,15
169500,405,54,60,21,9
169600,726,87,60,27,18
169700,645,135,126,72,21
169800,186,45,45,24,12
169900,330,66,60,30,12
170000,573,141,171,69,27
170100,321,69,81,39,9
170200,348,54,75,30,18
170300,342,87,72,42,21
170400,222,36,27,9,6
170500,417,135,153,42,12
170600,312,54,72,33,15
170700,321,69,93,39,15
170800,285,72,54,36,12
170900,450,72,72,51,15
171100,390,66,72,33,15
171200,528,93,93,51,18
171300,216,33,39,15,9
171400,462,132,114,69,69
171500,1029,192,183,81,66
171600,813,150,147,45,18
171700,348,84,111,51,21
171800,525,120,150,51,15
171900,441,99,105,48,18
172000,228,90,72,36,33
172100,486,129,117,63,42
172200,294,93,81,51,33
172300,306,75,75,45,15
172400,435,75,105,60,15
172500,105,15,27,9,3
172600,117,30,21,15,6
172700,135,27,36,18,6
172800,498,120,153,60,15
172900,192,42,45,18,9
173000,279,48,78,51,21
173100,384,81,138,51,18
173200,720,165,237,96,36
173300,420,108,120,60,27
173400,393,78,117,48,9
173500,348,60,81,48,12
173600,312,60,57,27,12
173700,282,66,63,36,15
173800,378,81,87,39,15
173900,1287,189,219,87,24
174000,735,111,117,66,21
174100,765,78,84,45,21
174200,537,69,66,36,21
174300,276,57,48,27,9
174400,273,54,57,30,6
174500,285,72,54,21,9
174600,288,54,57,39,15
174700,231,36,48,36,3
174800,270,45,48,18,12
174900,1011,111,111,45,21
175000,1281,171,183,81,27
175100,165,39,39,18,9
175200,39,6,9,0,3
175300,402,186,237,69,21
175400,117,27,24,9,3
175500,384,156,198,75,18
175600,90,45,60,33,3
175700,366,132,129,45,21
175800,981,159,192,66,18
175900,669,249,369,108,30
176000,498,117,129,45,15
176100,564,204,231,72,24
176200,915,201,249,93,21
176300,24,6,3,0,0
176400,546,153,141,54,27
176500,678,114,99,30,15
176600,543,126,129,33,12
176700,288,93,117,57,12
176800,462,180,129,69,54
176900,531,102,147,54,15
177000,585,147,138,48,18
177100,726,174,177,72,33
