sa2,ethnicity,age,fully_imms,partial_imms
103700,Others,1-4,0.9473684210526315,0.05263157894736842
103700,Asian,13-17,1.0,0.0
103700,Maori,13-17,0.76,0.1
103700,Others,13-17,0.8846153846153846,0.038461538461538464
103700,Pacific,13-17,1.0,0.0
103700,Asian,5-12,1.0,0.0
103700,Maori,5-12,0.78,0.02
103700,Others,5-12,0.8909090909090909,0.0
103700,Pacific,5-12,0.8,0.0
103800,Maori,1-4,0.2857142857142857,0.2857142857142857
103800,Others,1-4,0.6666666666666666,0.16666666666666666
103800,Maori,13-17,0.9230769230769231,0.0
103800,Others,13-17,0.8181818181818182,0.0
103800,Asian,5-12,1.0,0.0
103800,Maori,5-12,0.75,0.0625
103800,Others,5-12,0.6666666666666666,0.13333333333333333
103900,Asian,1-4,1.0,0.0
103900,Maori,1-4,0.45161290322580644,0.16129032258064516
103900,Others,1-4,0.631578947368421,0.15789473684210525
103900,Pacific,1-4,0.0,0.0
103900,Unknown,1-4,0.0,1.0
103900,Asian,13-17,0.5,0.0
103900,Maori,13-17,0.9272727272727272,0.01818181818181818
103900,Others,13-17,0.8235294117647058,0.0
103900,Pacific,13-17,0.0,0.3333333333333333
103900,Asian,5-12,0.8181818181818182,0.09090909090909091
103900,Maori,5-12,0.8923076923076924,0.06153846153846154
103900,Others,5-12,0.9333333333333333,0.03333333333333333
103900,Pacific,5-12,1.0,0.0
104000,Maori,1-4,0.4375,0.1875
104000,Others,1-4,1.0,0.0
104000,Asian,13-17,1.0,0.0
104000,Maori,13-17,0.9047619047619048,0.07142857142857142
104000,Others,13-17,1.0,0.0
104000,Pacific,13-17,0.0,1.0
104000,Asian,5-12,1.0,0.0
104000,Maori,5-12,0.8214285714285714,0.125
104000,Others,5-12,0.8,0.0
104000,Pacific,5-12,1.0,0.0
104100,Asian,1-4,1.0,0.0
104100,Maori,1-4,0.4307692307692308,0.15384615384615385
104100,Others,1-4,0.8333333333333334,0.0
104100,Pacific,1-4,0.5,0.5
104100,Maori,13-17,0.8813559322033898,0.05084745762711865
104100,Others,13-17,0.6923076923076923,0.11538461538461539
104100,Pacific,13-17,1.0,0.0
104100,Asian,5-12,1.0,0.0
104100,Maori,5-12,0.8245614035087719,0.05847953216374269
104100,Others,5-12,0.7857142857142857,0.03571428571428571
